model,averageDistance
simplernn1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.837118512447998
lstm1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.950121654428388
gru1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.869277334572708
simplernn1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.0005952339750137
lstm1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.0140435975698785
gru1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.6824074891446803
simplernn3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,4.051236361655651
lstm3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.0534085897949272
gru3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.4400708535867057
simplernn3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.3594618493297244
lstm3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.8607023124932
gru3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.169817463899752
simplernn3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.665699909626832
lstm3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.359961508756994
gru3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.4464935009449067
simplernn3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.053324806962087
lstm3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,4.023764755491698
gru3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.1775633667914236
simplernn3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,4.0028217816438
lstm3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.619237413554773
gru3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.8740490681376976
simplernn3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.240254496917431
lstm3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.7617868746853578
gru3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.9983432860885344
