model,time
simplernn1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,33.4
lstm1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,48.91
gru1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,47.09
simplernn1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,30.73
lstm1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,47.27
gru1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,48.9
simplernn3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,50.52
lstm3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,90.14
gru3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,92.9
simplernn3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,47.05
lstm3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,95.89
gru3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,93.53
simplernn3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,50.32
lstm3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,121.15
gru3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,118.43
simplernn3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,44.01
lstm3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,141.15
gru3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,133.71
simplernn3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,63.51
lstm3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,140.39
gru3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,126.2
simplernn3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,48.68
lstm3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,138.38
gru3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,131.59
